product_id,user_id,comment,rating
1050,2997,"Sản phẩm rất tốt, tôi rất hài lòng!",3
1003,2072,Không tốt như mong đợi.,4
1075,2492,"Giá cả hợp lý, chất lượng ổn.",3
1037,2679,Giao hàng chậm nhưng sản phẩm ổn.,4
1063,2247,"Dịch vụ tệ, không bao giờ mua lại.",3
1037,2995,Tuyệt vời! Đáng đồng tiền.,3
1024,2278,"Chất lượng tạm được, sẽ cân nhắc mua lần sau.",2
1049,2435,"Giao hàng nhanh, đúng mô tả.",2
1096,2709,Sản phẩm không đúng như quảng cáo.,2
1022,2648,Hài lòng với sản phẩm này!,3
1073,2264,"Khá ổn, nhưng có thể cải thiện thêm.",4
1070,2191,Đáng tiếc là sản phẩm không tốt.,1
1020,2735,"Rất thích sản phẩm, sẽ ủng hộ lần sau.",4
1068,2796,Không đáng tiền chút nào.,2
1090,2018,"Sản phẩm ổn, nhân viên nhiệt tình.",3
1012,2553,"Quá tuyệt vời, chất lượng vượt mong đợi!",4
1021,2771,"Dịch vụ tốt, hàng chất lượng.",5
1079,2206,"Không nên mua, thất vọng.",1
1049,2094,"Giao hàng nhanh, sản phẩm tạm ổn.",2
1093,2172,Tốt trong tầm giá.,4
1026,2348,Không có gì để chê!,3
1082,2930,Sản phẩm bị lỗi khi nhận hàng.,4
1044,2352,Sẽ giới thiệu cho bạn bè.,3
1084,2809,"Không hài lòng, dịch vụ chậm trễ.",4
1063,2573,Sản phẩm đẹp và chắc chắn.,3
1012,2570,Dịch vụ rất kém.,4
1013,2676,Giao hàng siêu nhanh!,2
1036,2289,Không giống như hình.,2
1069,2067,Sản phẩm rất đáng mua.,3
1091,2823,"Giá rẻ, chất lượng thấp.",1
1061,2747,Hài lòng về chất lượng sản phẩm.,3
1097,2922,Sản phẩm xứng đáng với giá tiền.,3
1042,2497,Không đáp ứng được mong đợi.,3
1074,2580,Sản phẩm bị lỗi.,2
1006,2852,Thất vọng vì chất lượng không như quảng cáo.,5
1001,2193,"Hàng đẹp, giao nhanh.",3
1029,2138,Không hài lòng về sản phẩm.,2
1073,2693,Quá trình mua hàng rất hài lòng.,4
1000,2843,Hàng bị hỏng khi nhận.,4
1053,2469,Chất lượng quá tệ!,2
1054,2507,"Dịch vụ tốt, sản phẩm ổn.",5
1077,2420,"Hàng đúng mô tả, chất lượng OK.",4
1049,2119,"Quá kém, không đáng mua.",2
1025,2957,Sản phẩm phù hợp với giá.,1
1025,2846,Hàng không như ý.,1
1015,2877,"Giao hàng nhanh, chất lượng tốt.",2
1050,2890,"Thất vọng, sản phẩm kém chất lượng.",3
1084,2144,Rất đáng để mua.,1
1090,2002,Không nên mua.,5
1051,2907,"Dịch vụ rất tốt, hài lòng.",3
1041,2946,Sản phẩm tạm ổn.,2
1081,2364,"Sản phẩm rất tốt, tôi rất hài lòng!",4
1090,2123,Không tốt như mong đợi.,5
1040,2456,"Giá cả hợp lý, chất lượng ổn.",1
1093,2697,Giao hàng chậm nhưng sản phẩm ổn.,3
1091,2255,"Dịch vụ tệ, không bao giờ mua lại.",1
1025,2435,Tuyệt vời! Đáng đồng tiền.,4
1078,2167,"Chất lượng tạm được, sẽ cân nhắc mua lần sau.",1
1019,2797,"Giao hàng nhanh, đúng mô tả.",5
1045,2044,Sản phẩm không đúng như quảng cáo.,4
1099,2637,Hài lòng với sản phẩm này!,3
1024,2264,"Khá ổn, nhưng có thể cải thiện thêm.",1
1083,2387,Đáng tiếc là sản phẩm không tốt.,2
1074,2755,"Rất thích sản phẩm, sẽ ủng hộ lần sau.",5
1003,2920,Không đáng tiền chút nào.,1
1098,2784,"Sản phẩm ổn, nhân viên nhiệt tình.",2
1093,2120,"Quá tuyệt vời, chất lượng vượt mong đợi!",1
1022,2897,"Dịch vụ tốt, hàng chất lượng.",3
1092,2775,"Không nên mua, thất vọng.",1
1082,2165,"Giao hàng nhanh, sản phẩm tạm ổn.",1
1086,2224,Tốt trong tầm giá.,2
1082,2697,Không có gì để chê!,4
1008,2148,Sản phẩm bị lỗi khi nhận hàng.,1
1086,2142,Sẽ giới thiệu cho bạn bè.,4
1038,2781,"Không hài lòng, dịch vụ chậm trễ.",1
1018,2094,Sản phẩm đẹp và chắc chắn.,3
1064,2704,Dịch vụ rất kém.,3
1069,2800,Giao hàng siêu nhanh!,5
1018,2660,Không giống như hình.,3
1017,2519,Sản phẩm rất đáng mua.,1
1056,2821,"Giá rẻ, chất lượng thấp.",2
1051,2470,Hài lòng về chất lượng sản phẩm.,3
1059,2390,Sản phẩm xứng đáng với giá tiền.,3
1060,2295,Không đáp ứng được mong đợi.,3
1094,2448,Sản phẩm bị lỗi.,3
1062,2680,Thất vọng vì chất lượng không như quảng cáo.,1
1089,2209,"Hàng đẹp, giao nhanh.",2
1063,2405,Không hài lòng về sản phẩm.,4
1066,2376,Quá trình mua hàng rất hài lòng.,5
1012,2917,Hàng bị hỏng khi nhận.,3
1047,2180,Chất lượng quá tệ!,5
1001,2064,"Dịch vụ tốt, sản phẩm ổn.",3
1005,2625,"Hàng đúng mô tả, chất lượng OK.",2
1091,2822,"Quá kém, không đáng mua.",3
1032,2625,Sản phẩm phù hợp với giá.,4
1037,2738,Hàng không như ý.,3
1012,2263,"Giao hàng nhanh, chất lượng tốt.",5
1063,2966,"Thất vọng, sản phẩm kém chất lượng.",2
1065,2486,Rất đáng để mua.,5
1010,2779,Không nên mua.,2
